ontology ID,label,parent class,definition,definition cross reference,Comment,comment cross reference,editors note,exact synonym,broad synonym,narrow synonym,related synonym,in subset,cross reference,subclass axiom,creation date,created by
ID,AL rdfs:label@en,SC % SPLIT=|,AL IAO:0000115@en,>AI oboInOwl:hasDbXref SPLIT=|,AL rdfs:comment@en,>AI oboInOwl:hasDbXref SPLIT=|,AL IAO:0000116@en,AL oboInOwl:hasExactSynonym@en SPLIT=|,AL oboInOwl:hasBroadSynonym@en SPLIT=|,AL oboInOwl:hasNarrowSynonym@en SPLIT=|,AL oboInOwl:hasRelatedSynonym@en SPLIT=|,A oboInOwl:inSubset SPLIT=|,AI oboInOwl:hasDbXref SPLIT=|,SC % SPLIT=|,AT oboInOwl:creation_date^^xsd:dateTime,AI oboInOwl:created_by SPLIT=|
,,,,,,,,,,,,,,,,
ENVO:03501102,polytunnel,industrial building,A tunnel made from steel and covered in polyethylene used for plant cultivation.,ENVO,"These tunnels are usually semi-circular, square or elongated in shape. These are not subclasses of ENVO:tunnel as they are not built underground or underwater. ",,,polytunnel|polyhouse|hoop greenhouse|hoophouse|grow tunnel|high tunnel,,,,,,,2021-03-15T04:00:01.750Z,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,VEHICLE,,,,,,,,,,,,,,,
ENVO:03501103,ambulance,motor vehicle,A motor vehicle which is equipped with medical equipment and can be used to transport humans to treatment facilities.,https://en.wikipedia.org/wiki/Ambulance,,,,,,,,,,,2021-03-15T04:00:01.750Z,https://orcid.org/0000-0002-9578-0788
ENVO:03501104,recreational cruise ship,boat,A boat which provides short-term residential and entertainment facilities to passengers.,https://en.wikipedia.org/wiki/Cruise_ship,,,,,cruise ship,,,,,,2021-03-15T04:00:01.750Z,https://orcid.org/0000-0002-9578-0788
ENVO:03501325,transport boat,boat,A boat which is used to transport cargo or carry passengers.,,,,,,,,,,,,2021-03-15T04:00:01.750Z,https://orcid.org/0000-0002-9578-0788
ENVO:03501105,merchant vessel,transport boat,A transport boat which can be hired.,https://en.wikipedia.org/wiki/Merchant_ship,,,,merchant ship | trading vessel | merchantman,,,,,,,2021-03-15T04:00:01.750Z,https://orcid.org/0000-0002-9578-0788
